place,Type,Open,lat,long,notes1,notes2,website
The Goodfoot,Bar,open,45.5194263,-122.6363302,Beer,,"https://www.google.com/maps/place/The+Goodfoot+%7C+Music,+DJs,+Art,+and+Food+since+2001/@45.5192452,-122.637084,17.87z/data=!4m5!3m4!1s0x5495a095f6d8ce53:0xf60e4ed82f571307!8m2!3d45.5194981!4d-122.6363726"
The Living Room Coffeehouse,Coffee,open,45.46099333,-122.6468407,Coffee,,"https://www.google.com/maps/place/The+Living+Room+Coffeehouse/@45.4608555,-122.6468656,18.55z/data=!3m1!5s0x54950ad1b57e61e3:0x995ee7448c0aac57!4m12!1m6!3m5!1s0x5495a0be1546ebc9:0x832e41ac3be7a500!2sKen's+Artisan+Pizza!8m2!3d45.520579!4d-122.6370642!3m4!1s0x54950ad1ca8083f3:0xcf9ac6bcb15eb3c7!8m2!3d45.4609875!4d-122.6468429"
Grand Central Bakery,Food,open,45.46587049,-122.6532196,Cafe,,"https://www.google.com/maps/place/Grand+Central+Bakery+-+Sellwood+cafe/@45.4656951,-122.653008,18.9z/data=!3m1!5s0x54950adb6a1f3ea7:0x713b9a2300e9108d!4m12!1m6!3m5!1s0x5495a0be1546ebc9:0x832e41ac3be7a500!2sKen's+Artisan+Pizza!8m2!3d45.520579!4d-122.6370642!3m4!1s0x0:0x46d1ae1645ef0a6c!8m2!3d45.465859!4d-122.653216"
Papa Haydn,Food,open,45.48040469,-122.6496383,Fine Dining,,"https://www.google.com/maps/place/Papa+Haydn/@45.4800552,-122.6489555,17.03z/data=!3m1!5s0x54950a933b64f5b7:0x59e8125c675da585!4m12!1m6!3m5!1s0x5495a0be1546ebc9:0x832e41ac3be7a500!2sKen's+Artisan+Pizza!8m2!3d45.520579!4d-122.6370642!3m4!1s0x54950a933b7d35ad:0xd3eb36b85880156b!8m2!3d45.4803808!4d-122.6497351"
Ancestry Brewing,Bar,open,45.4631112,-122.6528251,Outside Seating,,"https://www.google.com/maps/place/Ancestry+Brewing/@45.4631316,-122.6530261,18.06z/data=!3m1!5s0x54950ada678a6ac3:0x724ff15df6cb6a2b!4m12!1m6!3m5!1s0x5495a0be1546ebc9:0x832e41ac3be7a500!2sKen's+Artisan+Pizza!8m2!3d45.520579!4d-122.6370642!3m4!1s0x54950ada5ce7f745:0x462a66b2ff890d21!8m2!3d45.4631009!4d-122.65283"
Teote House Cafe,Food,open,45.51120269,-122.6538139,Latin American,,"https://www.google.com/maps/place/Teote+House+Cafe/@45.5111227,-122.6538573,18.92z/data=!4m12!1m6!3m5!1s0x54950b4700fac5d9:0x800e88ca47f0761a!2sBroken+Robot+Coffee!8m2!3d45.4931834!4d-122.6361854!3m4!1s0x5495a09fcd4ec5e9:0xc6af88e1598cb106!8m2!3d45.5111917!4d-122.6538112"
Henry Higgins Boiled Bagels,Food,open,45.52693077,-122.6467921,Bagels,,"https://www.google.com/maps/place/Henry+Higgins+Boiled+Bagels/@45.5260388,-122.6503103,16.8z/data=!3m1!5s0x5495a0be3fc29bcf:0xecf6dc093706679f!4m12!1m6!3m5!1s0x5495a0be1546ebc9:0x832e41ac3be7a500!2sKen's+Artisan+Pizza!8m2!3d45.520579!4d-122.6370642!3m4!1s0x5495a0b75665982b:0xc474606436364795!8m2!3d45.5268982!4d-122.6467914"
Ardent,Coffee,open,45.48588495,-122.6372657,Coffee,,"https://www.google.com/maps/place/Ardent+Coffee/@45.4855127,-122.6372653,18.09z/data=!4m5!3m4!1s0x54950b277e5a1871:0x6b52dc1f9a021289!8m2!3d45.4858659!4d-122.6372663"
Rose City Coffee Co,Coffee,open,45.49863802,-122.6538292,Coffee,,"https://www.google.com/maps/place/Rose+City+Coffee+Co./@45.4982585,-122.6541828,17.58z/data=!3m1!5s0x54950a7b667dcb7d:0xb5750f75cc57051c!4m5!3m4!1s0x54950a7b65d4b37f:0xe87831d90e1624d4!8m2!3d45.4986317!4d-122.6538286"
Coava,Coffee,open,45.51356588,-122.6605977,Coffee,,"https://www.google.com/maps/place/Coava+Coffee+Roasters/@45.5127988,-122.6607641,16.78z/data=!3m1!5s0x54950a0ae93251db:0xf85f01a63e982790!4m12!1m6!3m5!1s0x5495a198315a1763:0x8e2808c478307403!2sAway+Days+Brewing+Co!8m2!3d45.5119731!4d-122.6555745!3m4!1s0x54950a0ae93e6b79:0xc63aec4f3d1b3aad!8m2!3d45.5135494!4d-122.6606018"
Shalom Y'all,Food,open,45.51520454,-122.6643922,Mediterranean,,"https://www.google.com/maps/place/Shalom+Y'all/@45.5142366,-122.6652814,16.85z/data=!3m1!5s0x54950a0a2d50d705:0xffeb24311bde3692!4m12!1m6!3m5!1s0x5495a198315a1763:0x8e2808c478307403!2sAway+Days+Brewing+Co!8m2!3d45.5119731!4d-122.6555745!3m4!1s0x54950a0bd2e5a2c3:0x17d9cf5029bd95bd!8m2!3d45.5151975!4d-122.6643929"
Otto's Sausage Kitchen & Meat Market,Food,open,45.47902987,-122.6196935,German Deli,,"https://www.google.com/maps/place/Otto's+Sausage+Kitchen+%26+Meat+Market/@45.4792124,-122.6193279,18.72z/data=!3m1!5s0x54950aa11591d5e3:0xa52230a1c69181cf!4m12!1m6!3m5!1s0x5495a198315a1763:0x8e2808c478307403!2sAway+Days+Brewing+Co!8m2!3d45.5119731!4d-122.6555745!3m4!1s0x54950aa13f953447:0xe63a9c7bed35a9e2!8m2!3d45.479006!4d-122.6196967"
Double Mountain Taproom,Bar,open,45.47904219,-122.6176879,Outside Seating,,"https://www.google.com/maps/place/Double+Mountain+Taproom/@45.4791435,-122.6183554,17.77z/data=!3m1!5s0x54950aa1281478bb:0x3ffaf936ac000943!4m5!3m4!1s0x54950aa0d84467e9:0x519fbe5a612b8434!8m2!3d45.4790288!4d-122.6176892"
Kasbah Moroccan Cafe,Food,open,45.52467073,-122.6726448,Moroccan,,"https://www.google.com/maps/place/Kasbah+Moroccan+Cafe/@45.5245007,-122.6727504,19.62z/data=!3m1!5s0x54950a00a323aad1:0xef515a6aa921ef42!4m5!3m4!1s0x54950a00a4616ac3:0x9b77281c734e689f!8m2!3d45.5246563!4d-122.6726466"
Portland City Grill,Food,open,45.52223672,-122.6759442,Fine Dining,Big Pink ,"https://www.google.com/maps/place/Portland+City+Grill/@45.5220896,-122.6765145,18.37z/data=!3m1!5s0x54950bbb2dc62f5f:0x31c8e33f2abf6b51!4m5!3m4!1s0x54950a06b0fad621:0x60ea32db79c16dcc!8m2!3d45.5222146!4d-122.6759475"
Kelly's Olympian,Bar,open,45.51995912,-122.6765117,Inside Seating,,"https://www.google.com/maps/place/Kelly's+Olympian/@45.5198268,-122.6765953,18.76z/data=!3m1!5s0x54950a0434d0e119:0x9a0821514d4664f2!4m5!3m4!1s0x54950b75f65d4b7f:0xc0acd0540fef6c73!8m2!3d45.5199546!4d-122.6765139"
Pizza Thief,Food,open,45.53673134,-122.7053412,Pizza,,"https://www.google.com/maps/place/Pizza+Thief/@45.5366099,-122.7054751,18.28z/data=!3m1!5s0x549509e62a261d4f:0xf913d1bde05b3a1a!4m5!3m4!1s0x549509c7716ba527:0xf0e0c444404be709!8m2!3d45.5367187!4d-122.7053356"
Great Notion Brewing NW,Bar,open,45.53973785,-122.7089526,Inside Seating,Sours,"https://www.google.com/maps/place/Great+Notion+Brewing+NW/@45.5378755,-122.7094239,16.17z/data=!3m1!5s0x549509dd49b342c7:0xf2c5345dd78ce64!4m5!3m4!1s0x549509eba48517b9:0x4213a2f625234a69!8m2!3d45.5397285!4d-122.7089528"
Hammer & Stitch Brewing Co,Bar,open,45.53787543,-122.7002876,Patio,,"https://www.google.com/maps/place/Hammer+%26+Stitch+Brewing+Co./@45.5371497,-122.700817,17.64z/data=!4m5!3m4!1s0x549509e97a93a423:0x5fef85486bbc2fe0!8m2!3d45.5378595!4d-122.7002893"
Kells Brewery,Bar,open,45.52456221,-122.6942143,Irish Pub,Private Booth,"https://www.google.com/maps/place/Kells+Brewery/@45.5247762,-122.6944866,18.45z/data=!3m1!5s0x549509f7aca451d5:0x930e23159f29f43a!4m5!3m4!1s0x0:0x9d7dabd68543a79a!8m2!3d45.5245064!4d-122.6942117"
Lightning Will ,Bar,open,45.52522484,-122.6945875,Inside Seating,,"https://www.google.com/maps/place/Lightning+Will+Bar+%26+Grill/@45.5251211,-122.6940871,18.7z/data=!3m1!5s0x549509f703a390a9:0xc927fdcd98d857f5!4m5!3m4!1s0x549509f703a6b7ad:0xebe28492088d7cee!8m2!3d45.525204!4d-122.6945966"
Ranch PDX,Food,open,45.52946568,-122.6944035,Pizza,,"https://www.google.com/maps/place/Ranch+PDX,+NW+21st/@45.5293689,-122.694241,19.21z/data=!4m5!3m4!1s0x54950900faca8051:0x1fd61785b69f65c1!8m2!3d45.5294493!4d-122.6944047"
Life of Pie,Food,open,45.53498727,-122.6988956,Pizza,,"https://www.google.com/maps/place/Life+of+Pie/@45.5350375,-122.6989529,19.94z/data=!3m1!5s0x549509e5b5c5742f:0xcffc5419c06cb8ca!4m5!3m4!1s0x549509c3c2d0b945:0xde5fee1b0f574dd6!8m2!3d45.5349836!4d-122.6989052"
Goose Hollow Inn,Bar,open,45.51851685,-122.6939196,Patio,,"https://www.google.com/maps/place/Goose+Hollow+Inn/@45.5185417,-122.6933042,18.67z/data=!3m1!5s0x54950a1eebd64867:0xdf600f37815394bc!4m5!3m4!1s0x54950a1ee9a9513f:0x83c7eb4e6421de6d!8m2!3d45.5184833!4d-122.6938973"
Andina,Food,open,45.52634416,-122.6845855,Peruvian Fine Dining,,"https://www.google.com/maps/place/Andina/@45.5263083,-122.6844406,18.01z/data=!4m5!3m4!1s0x549509f8b8e1b5d5:0x2b06087b5044d20f!8m2!3d45.526334!4d-122.6846031"
Toki,Food,open,45.52130256,-122.6835055,Korean,,"https://www.google.com/maps/place/Toki+Restaurant/@45.521406,-122.6835384,18.91z/data=!3m1!5s0x54950a036a088a6b:0xef3633536e1997db!4m5!3m4!1s0x5495a17b7a3a5d2d:0x59707aacb35e9d43!8m2!3d45.5212891!4d-122.6835094"
Lil' Shalom,Food,open,45.52104941,-122.6834903,Mediterranean,,"https://www.google.com/maps/place/Lil'+Shalom/@45.521406,-122.6835384,18.91z/data=!3m1!5s0x54950a0344bd615f:0x6d9c3bcff445ac99!4m5!3m4!1s0x0:0xe983f08ab65d71e7!8m2!3d45.5210496!4d-122.683493"
Coava,Coffee,open,45.51670381,-122.6860358,Coffee,,"https://www.google.com/maps/place/Coava+Coffee+Roasters/@45.5162817,-122.6864735,17.64z/data=!3m1!5s0x54950a1a4b899d81:0x553ed69baf47a942!4m5!3m4!1s0x54950a1a4b9d82c9:0x665ba137f7190544!8m2!3d45.5166045!4d-122.6860972"
Botanist,Bar,open,45.52972504,-122.6851605,Rooftop ,,"https://www.google.com/maps/place/Botanist/@45.5297123,-122.6842925,17.94z/data=!4m5!3m4!1s0x5495095170333763:0x8205bcd2b5455b16!8m2!3d45.5296468!4d-122.6851529"
Deadstock ,Coffee,open,45.52373582,-122.6747777,Coffee,,"https://www.google.com/maps/place/Deadstock+Coffee+Roasters/@45.5234633,-122.6749867,18.89z/data=!3m1!5s0x5495a0b6899dc5d3:0x34200558bdfaeeb!4m5!3m4!1s0x54950bfd3c29a81b:0x843c92bf72e4ed1d!8m2!3d45.5237215!4d-122.6747812"
Lotus & Bean,Coffee,open,45.5189807,-122.674949,Coffee,,"https://www.google.com/maps/place/Lotus+%26+Bean+Espresso+Bar/@45.5189765,-122.6754931,19z/data=!3m2!4b1!5s0x54950a0b9086815b:0xa684d4820edb61a1!4m5!3m4!1s0x54950a05e839f941:0xa32d8d8583a6ea33!8m2!3d45.5189765!4d-122.6749459"
Never Coffee,Coffee,open,45.52142688,-122.6839418,Coffee,,"https://www.google.com/maps/place/Never+Coffee/@45.5214486,-122.6838228,18.18z/data=!3m1!5s0x54950a033f63b60b:0x980f483fe5d1b8b6!4m5!3m4!1s0x54950b932fcf87e9:0xcb6b31ed4bd8fb7!8m2!3d45.5214054!4d-122.6839332"
Sisters Coffee Co,Coffee,open,45.53093309,-122.6843319,Coffee,,"https://www.google.com/maps/place/Sisters+Coffee+Company+in+The+Pearl+District/@45.5309299,-122.6851176,18.21z/data=!3m1!5s0x549509fdd16e9fe9:0x32da19db70052036!4m5!3m4!1s0x549509fc2b2d8753:0x84cf73f21e3cbe6d!8m2!3d45.5308966!4d-122.6843197"
Leaky Roof ,Bar,open,45.51744025,-122.6902851,Inside Seating,,"https://www.google.com/maps/place/Leaky+Roof+Gastro+Pub/@45.5174534,-122.6907459,19.04z/data=!3m1!5s0x54950a195761a843:0x4f5e2097c81b5f85!4m5!3m4!1s0x54950a1959b5a173:0xf70da2277ac995e8!8m2!3d45.517438!4d-122.6902988"
Tokyo Sando,Food,open,45.52038886,-122.6734124,Japanese Sandwich ,Food Cart,"https://www.google.com/maps/place/Tokyo+Sando/@45.5204138,-122.6732347,17.92z/data=!4m5!3m4!1s0x0:0x309d4acaa41806bd!8m2!3d45.5204018!4d-122.6734935"
Mother's Bistro & Bar,Food,open,45.5222079,-122.6738111,Country-chic,,"https://www.google.com/maps/place/Mother's+Bistro+%26+Bar/@45.521864,-122.6734761,18.24z/data=!4m5!3m4!1s0x54950a06702a5de5:0x880b0bcd938f8871!8m2!3d45.5221859!4d-122.673824"
Bertie Lou's Cafe,Food,open,45.46491935,-122.6471906,Breakfast Restaurant,,"https://www.google.com/maps/place/Bertie+Lou's+Cafe/@45.4651227,-122.6473313,18.84z/data=!3m1!5s0x54950ac5154bb611:0x8fd9e38285665128!4m5!3m4!1s0x54950ac5151972bf:0xecfa5f57eb04de62!8m2!3d45.4649227!4d-122.6471948"
Moreland Ale House,Bar,open,45.46584034,-122.6475045,Outside Seating,,"https://www.google.com/maps/place/Moreland+Ale+House/@45.4658541,-122.6476317,19.39z/data=!3m1!5s0x54950ac51d28339d:0xe240fffff221af39!4m5!3m4!1s0x54950ac51ce3752b:0xa4fe332e8c808401!8m2!3d45.465858!4d-122.647633"
Henry Higgins Boiled Bagels,Food,open,45.46442485,-122.6524025,Bagels,,"https://www.google.com/maps/place/Henry+Higgins+Boiled+Bagels/@45.4644811,-122.6528486,18.63z/data=!3m1!5s0x5495a090461653d5:0x23658f47d4aef4e5!4m5!3m4!1s0x54950adafd2c124d:0x47744b894b3c4bd4!8m2!3d45.4644205!4d-122.6524051"
Wei Wei - A Taste Of Taiwan,Food,open,45.46800572,-122.6532528,Taiwanese,,"https://www.google.com/maps/place/Wei+Wei+-+A+Taste+Of+Taiwan/@45.46802,-122.6533017,18.46z/data=!3m1!5s0x54950ac34a370adf:0xb1d3d919198b24ed!4m5!3m4!1s0x54950ac34a096657:0x4e06174e877fbe24!8m2!3d45.4679885!4d-122.6532734"
a Cena Ristorante,Food,open,45.46875029,-122.6527046,Italian,,"https://www.google.com/maps/place/a+Cena+Ristorante/@45.4688059,-122.6534247,18.5z/data=!3m1!5s0x54950ac33bf4e02b:0xabefc286cd634d2d!4m5!3m4!1s0x54950ac33b9034a9:0xbcce989b4d21b4ce!8m2!3d45.4687501!4d-122.6527056"
The Muddy Rudder Public House,Bar,open,45.46418683,-122.6591169,Inside Seating,,"https://www.google.com/maps/place/The+Muddy+Rudder+Public+House/@45.4643637,-122.658988,18.04z/data=!3m1!5s0x54950ad945a9f33d:0x90706ad45e0d2a80!4m5!3m4!1s0x54950ad969dfc471:0xcb58c44632337455!8m2!3d45.464224!4d-122.6591951"
Kay's Bar,Bar,open,45.47390962,-122.6488779,Outside Seating,,"https://www.google.com/maps/place/Kay's+Bar/@45.4738791,-122.6490553,18.87z/data=!3m1!5s0x54950aea71356399:0xe2f3ccf7eb7751b4!4m5!3m4!1s0x54950aea70ce4e45:0xacef9be8c5ed9af6!8m2!3d45.4739062!4d-122.6488808"
Corkscrew Wine Bar,Bar,open,45.47384708,-122.6483766,Inside Seating,,"https://www.google.com/maps/place/Corkscrew+Wine+Bar/@45.4738467,-122.6489349,18.43z/data=!3m1!5s0x54950aea7b9b8b03:0x6532d1f8f61ed9cd!4m5!3m4!1s0x54950aea78147ef7:0xcca623f4b8bc55a1!8m2!3d45.473852!4d-122.6483812"
Fairlane Coffee Roasters,Coffee,open,45.4748178,-122.6490149,Coffee,,"https://www.google.com/maps/place/Fairlane+Coffee+Roasters/@45.4748694,-122.6492899,19.4z/data=!3m1!5s0x54950aea5faa042d:0x84c0a488692e9865!4m5!3m4!1s0x54950aea60721aad:0x65b9678058ec95e7!8m2!3d45.4748145!4d-122.6490132"
Ground Breaker Brewing and Gastropub,Bar,open,45.50804195,-122.658545,Outside Seating,,"https://www.google.com/maps/place/Ground+Breaker+Brewing+and+Gastropub/@45.5080304,-122.6588306,19.22z/data=!4m5!3m4!1s0x54950a740fa3a3e3:0xf54be47989bd5c42!8m2!3d45.5080414!4d-122.6585419"
Schilling Cider House,Bar,open,45.51627203,-122.6554589,Patio,,"https://www.google.com/maps/place/Schilling+Cider+House+%26+Gluten+Free+Kitchen/@45.5161975,-122.6559804,18.57z/data=!4m5!3m4!1s0x5495a0a1065fcc77:0xbb0ee30e89a686bd!8m2!3d45.5162641!4d-122.6554553"
MidCity SmashBurger,Food,open,45.51949694,-122.6552881,Burgers,,"https://www.google.com/maps/place/MidCity+SmashBurger/@45.5192357,-122.6558404,18.26z/data=!3m1!5s0x5495a0a41ae03fdf:0xdde69d2f413c6746!4m5!3m4!1s0x5495a161a424a01b:0x725f918abf25cd1e!8m2!3d45.5194873!4d-122.6552878"
Common Grounds Coffeehouse,Coffee,open,45.51218915,-122.6178283,Coffee,,"https://www.google.com/maps/place/Common+Grounds+Coffeehouse/@45.5119761,-122.6183115,17.85z/data=!3m1!5s0x5495a0f3272ca529:0xac38e6bbaa10ce05!4m5!3m4!1s0x5495a0f3241b4331:0xad21a7cf6fd21900!8m2!3d45.5121842!4d-122.6178309"
Stammtisch,Bar,open,45.52580018,-122.6373512,German Bar & Restaurant,,"https://www.google.com/maps/place/Stammtisch/@45.5260083,-122.6373863,18.22z/data=!3m1!5s0x5495a0b8a1deda9f:0xcb73d9db107feea3!4m5!3m4!1s0x5495a0b89f687e89:0x533a5177b25363a8!8m2!3d45.5258613!4d-122.6374505"
Mudd Works Roastery,Coffee,open,45.52633196,-122.5918566,Coffee,,"https://www.google.com/maps/place/Mudd+Works+Roastery/@45.5263162,-122.5920191,19.19z/data=!3m1!5s0x5495a11b83fc640f:0x6c6f77fd7914819!4m12!1m6!3m5!1s0x5495a0b89f687e89:0x533a5177b25363a8!2sStammtisch!8m2!3d45.5258613!4d-122.6374505!3m4!1s0x54950a5b8bdf1289:0x6ee024d18d6aae5d!8m2!3d45.5262886!4d-122.591858"
Gigantic Brewing Robot Room,Bar,open,45.52669817,-122.591717,Patio,,"https://www.google.com/maps/place/Gigantic+Brewing+Robot+Room/@45.52663,-122.5916071,19.02z/data=!4m5!3m4!1s0x5495a1775f90b021:0xc3032ff61ce6fae7!8m2!3d45.5266957!4d-122.5917413"
The House of Bánh Mì,Food,open,45.52673925,-122.5847928,Vietnamese Bánh Mi,,"https://www.google.com/maps/place/The+House+of+B%C3%A1nh+M%C3%AC+(The+HOB)/@45.526863,-122.5850453,17.7z/data=!3m1!5s0x5495a11aa2da07a1:0x346ed1fe82b20502!4m5!3m4!1s0x5495a11aa2d9e65d:0x722350b7218dd0c4!8m2!3d45.5267332!4d-122.5847911"
CHAR,Food,open,45.49257543,-122.6016402,Pizza,,"https://www.google.com/maps/place/CHAR/@45.4925297,-122.602051,18.77z/data=!3m1!5s0x5495a06b8c9f8af3:0x35b775e8720033b5!4m5!3m4!1s0x5495a1648d29cd0d:0xeeb219cac211cd76!8m2!3d45.4925635!4d-122.6016489"
Nayar Taqueria,Food,open,45.49243244,-122.602098,Mexican,,"https://www.google.com/maps/place/Nayar+Taqueria/@45.4923328,-122.6019156,19z/data=!3m1!5s0x5495a06b92a68209:0x7017dc547217f54f!4m5!3m4!1s0x5495a06b8d6d76ab:0x4725791b9a6b331c!8m2!3d45.4924528!4d-122.6021245"
Malka,Food,open,45.5051616,-122.6151441,Asian Fusion,,"https://www.google.com/maps/place/Malka/@45.5050148,-122.6151695,18.89z/data=!3m1!5s0x5495a061d4d6ffdd:0xd9d583e0e48414d3!4m12!1m6!3m5!1s0x0:0x92f206e668766226!2sMalka!8m2!3d45.5051288!4d-122.6151466!3m4!1s0x0:0x92f206e668766226!8m2!3d45.5051288!4d-122.6151466"
Tabor Bread,Food,open,45.51213036,-122.6105753,Bakery,,"https://www.google.com/maps/place/Tabor+Bread/@45.5122025,-122.6105163,18.17z/data=!3m1!5s0x5495a0f3ffd85c0f:0x3b8fae42de0e7472!4m5!3m4!1s0x5495a0f3ffc03b6b:0x70e555557892dc48!8m2!3d45.5121939!4d-122.6105309"
Wajan,Food,open,45.52320366,-122.6153135,Indonesian,,"https://www.google.com/maps/place/Wajan/@45.5234018,-122.6153785,17.57z/data=!4m5!3m4!1s0x5495a131e051ec61:0x4c555e9499cb21b8!8m2!3d45.523201!4d-122.6153131"
LoRell's Chicken Shack,Food,open,45.49576859,-122.6084663,Fried Chicken,Food Cart,"https://www.google.com/maps/place/LoRell's+Chicken+Shack/@45.4959829,-122.6093034,17.56z/data=!4m5!3m4!1s0x0:0xd613ead921e3baac!8m2!3d45.4957639!4d-122.6084655"
Favela Brazilian Cafe,Coffee,open,45.49496366,-122.6079889,Outdoor Seating,,"https://www.google.com/maps/place/Favela+Brazilian+Cafe/@45.4950278,-122.607809,18.47z/data=!4m5!3m4!1s0x5495a18dd060b0ab:0x527f518b93ee8407!8m2!3d45.4948457!4d-122.6079985"
An Xuyên Bakery,Food,open,45.49513866,-122.6072741,Pan Asian Pacific Bakery & Deli,,"https://www.google.com/maps/place/An+Xuy%C3%AAn+Bakery/@45.4949697,-122.607278,19.14z/data=!3m1!5s0x5495a06f2e816a7f:0x27eb8dc174f0b062!4m5!3m4!1s0x5495a06f2eac65cd:0x40c163709d9daa65!8m2!3d45.4951201!4d-122.6072791"
FoPo Tavern,Bar,open,45.49215455,-122.6022436,Outside Seating,Jello Shots,"https://www.google.com/maps/place/Fopo+Tavern/@45.4921494,-122.602419,18.59z/data=!3m1!5s0x5495a06b8ea0ecdd:0x89781623598564e1!4m5!3m4!1s0x5495a06b8eb89027:0x2de8c6fb92053656!8m2!3d45.4921444!4d-122.6022365"
Lutz Tavern,Bar,open,45.47931439,-122.6146321,Outside Seating,,"https://www.google.com/maps/place/Lutz+Tavern/@45.4794818,-122.6143177,18.3z/data=!3m1!5s0x54950aa0ad6c13f5:0x74a35d466e5fc507!4m5!3m4!1s0x54950aa0ad347c75:0x1f6bbf96d6e416be!8m2!3d45.4793022!4d-122.6146314"
Papaccino's,Coffee,open,45.47934367,-122.6171344,Coffee,,"https://www.google.com/maps/place/Papaccino's/@45.4794872,-122.6173353,18.46z/data=!3m1!5s0x54950aa0b23bd3e5:0xeaa01b2ddc713621!4m5!3m4!1s0x54950aa0c342ca7d:0x7e0d9b520f473c63!8m2!3d45.4793381!4d-122.6171347"
Nudi Noodle Place,Food,open,45.47909346,-122.6181543,Asian Fusion,,"https://www.google.com/maps/place/Nudi+Noodle+Place/@45.4787495,-122.6178738,18.13z/data=!3m1!5s0x54950aa1271fd579:0xa9917a12e7a83971!4m5!3m4!1s0x0:0x532fd75c90ebb78b!8m2!3d45.4790559!4d-122.6181719"
Bar Maven,Bar,open,45.49077455,-122.5989972,,,"https://www.google.com/maps/place/Bar+Maven/@45.4908288,-122.5991968,18.64z/data=!4m5!3m4!1s0x5495a06b6aa56ef1:0x1ba0c7f10d9ca011!8m2!3d45.4907669!4d-122.598983"
Assembly Brewing,Bar,open,45.49102256,-122.6004362,Patio,Detroit-style pizza,"https://www.google.com/maps/place/Assembly+Brewing/@45.4910268,-122.6003928,18.65z/data=!3m1!5s0x5495a06b657aff39:0xf6a95926316b0985!4m5!3m4!1s0x5495a114f56e428d:0x6d6001b4595363a0!8m2!3d45.4909048!4d-122.6004509"
Starday Tavern,Bar,open,45.48929634,-122.5955186,Inside Seating,Live Music,"https://www.google.com/maps/place/Starday+Tavern/@45.4892583,-122.5957523,18.7z/data=!4m5!3m4!1s0x5495a014e765381d:0x20e64f3c60feedf7!8m2!3d45.4892948!4d-122.5955117"
Pieper Cafe,Coffee,open,45.48907252,-122.5957886,Coffee,,"https://www.google.com/maps/place/Pieper+Cafe/@45.4892662,-122.5959432,19.53z/data=!3m1!5s0x5495a014e8f31aa7:0xe16dff7c69ba4a2f!4m5!3m4!1s0x5495a014e8627f95:0xc64f6ec08fbf3817!8m2!3d45.4890641!4d-122.595793"
Barrio,Bar,open,45.4860429,-122.5885087,Outside Seating,Wine Bar,"https://www.google.com/maps/place/Barrio/@45.4861076,-122.5883784,19.8z/data=!4m5!3m4!1s0x5495a0164744443b:0x6ccfc032ac5b5ec9!8m2!3d45.4860354!4d-122.588509"